ics_title,ics_description,facility_title,facility_description,standard_title,standard_description,standard_stage,standard_details.abstract,standard_details.Status,standard_details.Publication_date,standard_details.Edition,standard_details.Number_of_pages,standard_details.Technical_Committee,standard_details.ICS,standard_details.preview_doc,standard_details.Corrected_version_(en),standard_details.Corrected_version_(fr)
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",IEC 80601-2-71:2015,Medical electrical equipment — Part 2-71: Particular requirements for the basic safety and essential performance of functional Near-Infrared Spectroscopy (NIRS) equipment,90.92,"IEC 80601-2-71:2015 applies to the basic safety and essential performance of functional NIRS equipment intended to be used by themselves, or as a part of an ME system, for the production of functional NIRS equipment output for adjunctive diagnostic purposes, hereinafter referred to as ME equipment.",Published,2015-06,1,31,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:61105:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",IEC/CD 80601-2-86.2,"Medical electrical equipment — Part 2-86: Particular requirements for the basic safety and essential performance of electrocardiographs, including diagnostic equipment, monitoring equipment, ambulatory equipment, electrodes, cables and leadwires",30.60,,Under development,,1,,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,"11.040.10:Anaesthetic, respiratory and reanimation equipment|11.040.55:Diagnostic equipment",,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 80601-2-56:2009,Medical electrical equipment — Part 2-56: Particular requirements for basic safety and essential performance of clinical thermometers for body temperature measurement,95.99,"ISO 80601-2-56:2009 applies to the basic safety and essential performance of a clinical thermometer in combination with its accessories, referred to as ME equipment. ISO 80601-2-56:2009 specifies the general and technical requirements for electrical clinical thermometers. ISO 80601-2-56:2009 applies to all electrical clinical thermometers that are used for measuring the body temperature of patients. 
Clinical thermometers can be equipped with interfaces to accommodate secondary indicators, printing equipment, and other auxiliary equipment to create ME systems. ISO 80601-2-56:2009 does not apply to auxiliary equipment.
ME equipment that measures a temperature not as a primary purpose, but as a secondary function, is outside the scope of ISO 80601-2-56:2009.
Requirements for ME equipment intended to be used for non-invasive human febrile temperature screening of groups of individuals under indoor environmental conditions are given in IEC 80601‑2‑59:2008 and such ME equipment is not covered by ISO 80601-2-56:2009.",Withdrawn,2009-10,1,46,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",IEC 80601-2-26:2019/DAmd 1,Medical electrical equipment — Part 2-26: Particular requirements for the basic safety and essential performance of electroencephalographs — Amendment 1,40.60,,Under development,,1,35,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:82718:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",IEC 80601-2-49:2018/DAmd 1,Medical electrical equipment — Part 2-49: Particular requirements for the basic safety and essential performance of multifunction patient monitoring equipment — Amendment 1,40.60,,Under development,,1,4,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:82716:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",IEC/CD 80601-2-71,Medical electrical equipment — Part 2-71: Particular requirements for the basic safety and essential performance of functional near-infrared spectroscopy (functional NIRS) equipment,30.60,,Under development,,2,,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",IEC 80601-2-59:2017,Medical electrical equipment — Part 2-59: Particular requirements for the basic safety and essential performance of screening thermographs for human febrile temperature screening,90.93,"IEC 80601-2-59:2017 applies to the basic safety and essential performance of screening thermographs intended to be used for the individual non-invasive febrile temperature screening of a human under controlled environmental conditions, hereafter referred to as ME equipment. This document sets laboratory characterization test limits for the screening thermograph.
This edition includes the following significant technical changes with respect to the previous edition:
a) updates of the normative references and the bibliography;
b) expansion of the applicability to pandemic infectious diseases in general.",Published,2017-09,2,75,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:69346:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 80601-2-56:2017,Medical electrical equipment — Part 2-56: Particular requirements for basic safety and essential performance of clinical thermometers for body temperature measurement,90.60,"ISO 80601-2-56:2017 applies to the basic safety and essential performance of a clinical thermometer in combination with its accessories, hereafter referred to as me equipment. This document specifies the general and technical requirements for electrical clinical thermometers. This document applies to all electrical clinical thermometers that are used for measuring the body temperature of patients.
Clinical thermometers can be equipped with interfaces to accommodate secondary indicators, printing equipment, and other auxiliary equipment to create me systems. This document does not apply to auxiliary equipment.
Me equipment that measures a body temperature is inside the scope of this document.
ISO 80601-2-56:2017 does not specify the requirements for screening thermographs intended to be used for the individual non-invasive human febrile temperature screening of groups of individual humans under indoor environmental conditions, which are given in IEC 80601‑2‑59[4].
If a clause or subclause is specifically intended to be applicable to me equipment only, or to me systems only, the title and content of that clause or subclause will say so. If that is not the case, the clause or subclause applies both to me equipment and to me systems, as relevant.
Hazards inherent in the intended physiological function of me equipment or me systems within the scope of this document are not covered by specific requirements in this document except in IEC 60601‑1:2005+A1:2012, 7.2.13 and 8.4.1.
NOTE          Additional information can be found in IEC 60601?1:2005+A1:2012, 4.2.",Published,2017-03,2,49,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:67348:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",IEC 80601-2-59:2017/Amd 1:2023,Medical electrical equipment — Part 2-59: Particular requirements for the basic safety and essential performance of screening thermographs for human febrile temperature screening — Amendment 1,60.60,,Published,2023-01,2,10,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:83469:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 80601-2-56:2017/Amd 1:2018,Medical electrical equipment — Part 2-56: Particular requirements for basic safety and essential performance of clinical thermometers for body temperature measurement — Amendment 1,60.60,,Published,2018-11,2,2,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:75005:en,,
11.040,Medical equipment,11.040.60,Therapy equipment,ISO 5227:2022,Traditional Chinese medicine — Safety controls for cupping devices,60.60,"This document specifies safety controls for cupping devices used for air suction or discharge.
It applies to cupping devices that contain cups made of manufactured materials, such as plastic, glass, rubber, ceramic or silicone.
It does not apply to cupping devices that contain cups made from natural materials (e.g. bamboo) or those that include additional features, such as magnetism or infrared.",Published,2022-11,1,5,ISO/TC 249 Traditional Chinese medicine,11.040.60:Therapy equipment,https://www.iso.org/obp/ui/#!iso:std:81034:en,,
